"","site","provenience","group.prov","site.prov","C14.mean","C14.sd","C14.cv","uncal.date.bp","lab.num","attribution","material","calib.curve"
"116","Arenillas","II","II","Arenillas II",33870,1700,0.05,"33870±1700",NA,"Aurignacian",NA,"intcal13"
"117","Arenillas","II","II","Arenillas II",34660,1600,0.046,"34660±1600",NA,"Aurignacian",NA,"intcal13"
"118","Arlandpe","I","I","Arlandpe I",14150,60,0.004,"14150±60","Beta287336","M Magdalenian","bone","intcal13"
"119","Arlandpe","I","I","Arlandpe I",15100,60,0.004,"15100±60","Beta-316472","M Magdalenian","bone","intcal13"
"120","Arlandpe","II","II","Arlandpe II",17160,70,0.004,"17160±70","Beta-231389","final Solutrean","charcoal","intcal13"
"121","Arlandpe","II","II","Arlandpe II",17260,70,0.004,"17260±70","Beta-261388","final Solutrean","charcoal","intcal13"
"122","Arlandpe","III","III","Arlandpe III",17070,80,0.005,"17070±80","Beta-238178","Solutrean","charcoal","intcal13"
"123","Arlandpe","III","III","Arlandpe III",32200,1400,0.043,"32200±1400",NA,"?","bone","intcal13"
"124","Askondo","10","10","Askondo 10",31440,440,0.014,"31440±440","Beta-303670","Upper Paleolithic","burnt bone","intcal13"
"125","Barra","conchero","conchero","Barra conchero",6979,1539,0.221,"6979±1539","BAR-2","Mesolithic?","AAR date","intcal13"
"126","Barra","conchero","conchero","Barra conchero",7121,964,0.135,"7121±964","BAR-1","Mesolithic?","AAR date","intcal13"
"127","Berroberría","B","B","Berroberría B",8580,80,0.009,"8580±80","GrN-18423","Mesolithic","bone","intcal13"
"128","Berroberría","B","B","Berroberría B",8800,80,0.009,"8800±80","GrN-18422","Mesolithic","bone","intcal13"
"129","Berroberría","B","B","Berroberría B",9890,180,0.018,"9890±180","GrN-18424","Mesolithic","bone","intcal13"
"130","Berroberría","B base","B","Berroberría B",8470,80,0.009,"8470±80","GrN-16619","Mesolithic","bone","intcal13"
"131","Berroberría","C","C","Berroberría C",8630,70,0.008,"8630±70","GrN-18426","Mesolithic","bone","intcal13"
"132","Berroberría","C","C","Berroberría C",8860,100,0.011,"8860±100","GrN-18425","Mesolithic","bone","intcal13"
"133","Berroberría","D","D","Berroberría D",9740,190,0.02,"9740±190","GrN-19607","Azilian?","bone?","intcal13"
"134","Berroberría","D","D","Berroberría D",10300,170,0.017,"10300±170","GrN-19608","Azilian","bone?","intcal13"
"135","Berroberría","D","D","Berroberría D",11750,300,0.026,"11750±300","BM-2370","Final Magdelenian/Azilian","bone","intcal13"
"136","Berroberría","D inf.","D","Berroberría D",11100,120,0.011,"11100±120",NA,"Final Magdelenian","bone","intcal13"
"137","Berroberría","D inf.","D","Berroberría D",11600,130,0.011,"11600±130","OxA-978","U Magdalenian","bone","intcal13"
"138","Berroberría","D inf.","D","Berroberría D",11900,130,0.011,"11900±130","OxA-949","U Magdalenian","antler?","intcal13"
"139","Berroberría","D sup.","D","Berroberría D",10160,410,0.04,"10160±410","BM-2371","Azilian",NA,"intcal13"
"140","Berroberría","E","E","Berroberría E",9800,300,0.031,"9800±300",NA,"Azilian?",NA,"intcal13"
"141","Berroberría","E","E","Berroberría E",12500,90,0.007,"12500±90","GrN-20320","Upper/fin Magdalenian",NA,"intcal13"
"142","Berroberría","E","E","Berroberría E",12640,100,0.008,"12640±100","GrN-20321","Upper/fin Magdalenian",NA,"intcal13"
"143","Berroberría","E","E","Berroberría E",13270,220,0.017,"13270±220","BM-2372","U Magdalenian",NA,"intcal13"
"144","Berroberría","G","G","Berroberría G",13580,140,0.01,"13580±140","GrN-21625","L/M Magdalenian",NA,"intcal13"
"145","Berroberría","G","G","Berroberría G",14430,290,0.02,"14430±290","BM-2375","L/M Magdalenian",NA,"intcal13"
"146","Berroborría","C","C","Berroborría C",8510,90,0.011,"8510±90","GrN-16618","Mesolithic","bone","intcal13"
"147","Bolinkoba",NA,NA,"Bolinkoba",17490,90,0.005,"17490±90",NA,"Solutrean",NA,"intcal13"
"148","Bricia","A","A","Bricia A",7095,481,0.068,"7095±481","BRI-2","Asturian?","AAR date","intcal13"
"149","Bricia","C","C","Bricia C",11773,1949,0.166,"11773±1949","BRI-3","Azilian?","AAR date","intcal13"
